Title	Thoughts	Episode Length	Exclusive	My Rating	Watched?
American Horror Story		45			no
Another Life		45		4	yes
Arcane		45		4	yes
Archive 81		60			yes
Black Mirror		60			yes
Buffy the Vampire Slayer		45			no
Castlevania		30		5	yes
Claymore		30		3	yes
Cursed		50			no
Dark		45			no
Devilman Crybaby		30		4	yes
Falling Skies		45			no
Gravity Falls		15		5	yes
Hemlock Grove		45			yes
Love, Death, and Robots		15		4	yes
Lovecraft Country					no
Midnight Mass		60		5	yes
Nightfliers		45		4	yes
Oats Studios		30		4	yes
October Faction		45			no
Preacher		60			no
Stranger Things		60		5	yes
Supernatural		45		3	yes
The Bastard Executioner		45			no
The Haunting of Bly Manor		60		5	yes
The Haunting of Hill House		60		5	yes
The Strain		60			no
The Witcher		45		4	yes
Adventure Time		15		5	yes
Umbrella Academy		60	Netflix	5	yes
The Boys		60	Amazon Prime Video	5	yes
Invincible		30	Amazon Prime Video	3	yes